Disease name,Text
Ringworm (tinea corporis),"""Ringworm, also known as Tinea Corporis, presents as a fungal infection characterized by several distinct symptoms. It typically appears as red, scaly patches on the skin, often with raised edges, resembling a ring. These circular or oval-shaped rashes may cause itching, discomfort, or a burning sensation. They commonly occur on the arms, legs, trunk, or face, spreading through direct contact with infected individuals or contaminated objects. In some cases, the patches can have a clear center with a red, raised border. Additionally, the affected skin might show signs of inflammation or blistering. Seeking prompt treatment helps alleviate symptoms and prevent the infection from spreading."""
Shingles,"""Shingles, caused by the varicella-zoster virus (the same virus that causes chickenpox), typically starts with a tingling, burning, or stabbing pain in a specific area on one side of the body. This often precedes the appearance of a red rash, which develops into fluid-filled blisters. The rash follows a dermatomal pattern, resembling a band or strip along the nerves. Other symptoms include itching, sensitivity to touch, and sometimes fever, headache, or fatigue. Pain can range from mild to intense and may persist even after the rash disappears. Prompt medical attention is crucial to manage symptoms and reduce the risk of complications."""
Ringworm (tinea corporis),"""I've noticed this weird patch on my leg that's kind of silvery and dry. It doesn't hurt much, but it's a little itchy, especially at night. Is it some kind of rash?"""
Ringworm (tinea corporis),"""I have a dry, silvery patch on my leg that's mildly itchy, especially at night. Could it be ringworm?"""
Ringworm (tinea corporis),"""There's a strange, silvery patch on my leg that's dry and a bit itchy. It doesn’t hurt, but it bothers me at night. Is this ringworm?"""
Ringworm (tinea corporis),"""I’ve got a dry, itchy patch on my leg that’s silvery in color. It doesn’t cause much pain, but it seems to worsen at night. Could it be ringworm?"""
Ringworm (tinea corporis),"""I’ve noticed a dry, silvery spot on my leg that’s a bit itchy at night. It doesn’t hurt much, but it’s concerning. Could it be ringworm?"""
Ringworm (tinea corporis),"""There's a patch on my leg that’s dry and silvery, and it itches a little, especially when I’m trying to sleep. Could this be ringworm?"""
Ringworm (tinea corporis),"""I've noticed this weird patch on my leg that's silvery and dry. It doesn't hurt much, but it's a little itchy, especially at night. Could it be some kind of rash?"""
Ringworm (tinea corporis),"""""I noticed a silvery, dry patch on my leg. It doesn’t hurt too much, but it’s a little itchy, especially at night. Could this be some form of rash?"""
Athlete's foot (tinea pedis),"""After spending all summer at the pool, my feet started to itch and peel between my toes. The skin is raw and burning now, and I'm worried it might be something contagious."""
Vitiligo,"""Hi doc, I've been meaning to discuss these white spots on my chest that keep appearing. They show up more when I'm stressed or anxious, and I'm worried it might be affecting my confidence at work. Can you explain what's going on and is there anything I can do to manage it?"""
Eczema,"""After training, my skin around my elbows and knees becomes really irritated. It’s itchy and painful, which is starting to affect my performance."""
Eczema,"""I experience a lot of irritation on my skin after training, especially around my elbows and knees. It’s itchy and painful, which is impacting my performance."""
Eczema,"""My skin gets so itchy and painful after training, especially around my elbows and knees. It’s affecting my performance, and I’m worried about it."""
Eczema,"""I’m having irritation around my elbows and knees after training. It’s itchy and painful, and it’s making it harder for me to perform."""
Eczema,"""After my training sessions, I notice irritation on my skin, mainly around my elbows and knees. It’s really itchy and painful, which is affecting my performance."""
Eczema,"""I’m dealing with irritated, itchy, and painful skin around my elbows and knees after training. It’s starting to affect my performance."""
Eczema,"""My skin gets really irritated after training, especially around my elbows and knees. It's itchy and painful, and it's affecting my performance."""
Athlete's foot (tinea pedis),"""After training today, my feet felt hot and inflamed, especially around the arches. Now, they're itching like crazy, and there's this weird white peeling between my toes."""
Ringworm (tinea corporis),"""Coach, I have this ring-shaped patch on my chest that's really itchy and won't stop bothering me. I think it might be from using the shared mat at the gym."""
Ringworm (tinea corporis),"""I have this ring-shaped patch on my chest that's really itchy and won't stop bothering me. I think it might be from using the shared mat at the gym."""
Ringworm (tinea corporis),"""I’ve got this ring-shaped patch on my chest that’s very itchy and keeps bothering me. I believe it might be from the shared gym mat."""
Ringworm (tinea corporis),"""There's a ring-shaped patch on my chest that’s incredibly itchy and won’t stop bothering me. I think I got it from using the shared mat at the gym."""
Ringworm (tinea corporis),"""I have a ring-shaped patch on my chest that's really itchy and persistent. I think it might have come from using the shared mat at the gym."""
Ringworm (tinea corporis),"""I noticed a ring-shaped patch on my chest that’s really itchy and it won’t go away. I suspect it’s from using the shared mat at the gym."""
Impetigo,"""My wife has these red, crusty sores on her hands that she says are from working in the garden. They look painful and swollen, and I'm worried she might have an infection."""
Shingles,"""I'm a teacher, and I'm constantly exposed to sick kids. Now, I have this burning rash on my back that's making it hard to move around. I'm worried I might be contagious and put my students at risk."""
Shingles,"""As a teacher, I’m often around sick kids, and now I have this painful, burning rash on my back. I’m worried it might be contagious and affect my students. Could it be shingles?"""
Shingles,"""I’ve developed a burning rash on my back, and as a teacher, I’m concerned it might spread to my students. Is this a sign of shingles?"""
Acne,"""I've always had a little bit of acne, but it's gotten so much worse recently. I feel like I can't even look in the mirror without feeling self-conscious. It's affecting my confidence and social life, and I'm feeling really down about it. Can you help me get my skin back to normal?"""
Rosacea,"""My skin is very sensitive to the sun, and any exposure makes my rosacea worse. I get these red patches and pustules, and my eyes feel irritated and watery. I'm struggling to find sunscreen that doesn't trigger flare-ups."""
Folliculitis,"""I've been working in a factory where we use oil and grease, and now I have these painful bumps on my arms and forearms. They look like blackheads, but they're getting bigger and more inflamed."""
Folliculitis,"""I've been taking antibiotics for a long time, and now I have these itchy, red bumps on my arms and legs. They seem to be spreading, and I'm worried about an infection."""
Lupus,"""I’ve noticed a rash on my face that gets worse with sunlight. Could this be lupus?"""
Lupus,"""I’ve been feeling extremely tired all the time, even after a full night’s sleep. Could lupus be the cause?"""
Lupus,"""I’ve been experiencing joint pain and swelling, especially in my fingers and wrists. Could this be lupus?"""
Lupus,"""I have small, red spots on my face that seem to flare up with sun exposure. Could this be a sign of lupus?"""
Lupus,"""My fingers and toes feel cold, numb, and tingly, especially in colder weather. What is it?"""
Lupus,"""I’ve been losing weight without trying and don’t have much of an appetite. Could this be related to lupus?"""
Lupus,"""I’ve noticed sores in my mouth and throat that seem to appear randomly. Could this be lupus?"""
Lupus,"""I’ve been having muscle aches and pains, and it’s making it hard to get through my day. Could this be some skin condition?"""
Lupus,"""I have swelling in my glands and feel generally unwell."""
Lupus,"""I’ve been losing hair in patches, and it’s making me feel self-conscious. Could this be a sign of some skin disease?"""
Lupus,"""I’ve been having trouble with my kidneys, and my doctor mentioned it might be related to lupus. Is this common?"""
Lupus,"""I've been experiencing kidney problems, and my doctor suggested it could be linked to lupus. Is it common for lupus to affect the kidneys?"""
Lupus,"""Lately, I've had some kidney issues, and my doctor thinks it might be related to lupus. How often does lupus cause kidney problems?"""
Lupus,"""I've been having kidney trouble recently, and my doctor mentioned lupus as a possible cause. Is this something that happens often with lupus."""
Lupus,"""I’ve been dealing with kidney issues, and my doctor told me it could be connected to lupus. Is kidney involvement a common symptom of lupus?"""
Lupus,"""I've been having kidney trouble, and my doctor thinks it might be lupus-related. How frequently does lupus affect the kidneys?"""
Vitiligo,"""I've been diagnosed with Vitiligo, and I'm interested in treatment options. I've heard about creams, light therapy, and even surgery. Can you explain the pros and cons of each and help me find the best approach for my case?"""
Shingles,"""I'm pregnant and have been feeling under the weather. Now, I have this burning rash on my stomach that's making me nervous. I'm worried it might harm the baby, and I don't know what to do."""
Rosacea,"""I have oily skin and rosacea, which feels like a tricky mix. I get red patches and bumps, but I also struggle with breakouts and extra shine. I’m unsure what skincare routine would work for me."""
Rosacea,"""My skin is oily, and I also have rosacea, which makes it hard to figure out my skincare routine. I get red patches and bumps along with breakouts and excess shine."""
Rosacea,"""With oily skin and rosacea, it’s tough to find the right skincare routine. I get red patches and bumps, but I also deal with breakouts and a lot of shine."""
Rosacea,"""Lately, my skin has been acting up, and I’m not sure if it's linked to my pregnancy. I’ve developed red patches and bumps on my face that weren’t there before. I’m concerned about using medication during pregnancy."""
Rosacea,"""I’ve been noticing changes in my skin recently, and I’m unsure if it’s related to my pregnancy. My face has these red patches and bumps that weren’t there previously, and I’m worried about taking any medication while pregnant."""
Rosacea,"""My skin’s been reacting differently lately, and I’m wondering if it’s due to my pregnancy. I have red patches and bumps on my face now that weren’t there before, and I’m hesitant to use any medication during pregnancy."""
Rosacea,"""After intense workouts, I’ve noticed my face becomes flushed and red, particularly in hot weather. It feels warm and tingles, and I'm concerned it might be impacting my performance."""
Rosacea,"""I've observed that my face turns red and flushed after hard workouts, especially when it’s hot. It gets warm and tingly, and I’m worried it might be affecting how I perform."""
Rosacea,"""My face tends to flush and turn red after intense exercise, especially in the heat. It feels hot and tingling, and I'm concerned it could be influencing my performance."""
Rosacea,"""My skin is extremely sensitive, and even simple skincare products can irritate it. I have rosacea, but I’m hesitant to try any treatments because I fear they might worsen my condition."""
Rosacea,"""I have very sensitive skin, and even basic skincare items cause irritation. With rosacea, I'm nervous to try any treatments, as I'm afraid they'll make things worse."""
Rosacea,"""My skin reacts to everything, and even mild skincare products irritate it. I suffer from rosacea, but I’m reluctant to use treatments because I’m worried they’ll make my skin worse."""
Rosacea,"""Rosacea usually manifests with symptoms that affect the face, such as persistent redness in the central area, often resembling a sunburn or blush. Small blood vessels may become visible, and red, swollen bumps—similar to acne—can be painful or sensitive. Other signs include dry, irritated eyes and skin thickening, particularly on the nose, leading to rhinophyma. Flare-ups may be triggered by food, drinks, stress, or environmental factors. Consulting a dermatologist is important for proper diagnosis and treatment."""
Rosacea,"""Rosacea is characterized by symptoms like continuous redness on the face, often resembling a sunburn or blush, and visible blood vessels. Small, red, swollen bumps can appear, sometimes painful or sensitive. People with rosacea may also experience dry, irritated eyes and thickened skin on the nose, leading to rhinophyma. Stress, certain foods, drinks, or environmental factors can trigger flare-ups. Professional dermatological care is necessary for diagnosis and effective management."""
Rosacea,"""I've had rosacea for years, but recently, it’s been getting worse. The redness is more noticeable, and I have enlarged blood vessels on my nose that make me feel self-conscious. I'm concerned about lasting damage."""
Rosacea,"""I've been struggling with rosacea for a long time, and it's been worsening lately. The redness has intensified, and there are noticeable blood vessels on my nose that make me feel uncomfortable. I’m worried about permanent effects."""
Rosacea,"""My rosacea has been acting up for years, but recently, it’s gotten more severe. The redness is more intense, and I have enlarged blood vessels on my nose that make me feel insecure. I’m anxious about possible permanent damage."""
Rosacea,"""My skin is extremely sensitive to sunlight, and even a little exposure worsens my rosacea. I develop red patches and pustules, and my eyes become irritated and watery. I'm having trouble finding sunscreen that doesn’t cause flare-ups."""
Rosacea,"""Sunlight makes my skin react badly, worsening my rosacea. I get red patches and pustules, and my eyes become irritated and watery. I’m finding it difficult to find a sunscreen that doesn’t trigger flare-ups."""
Rosacea,"""I’m very sensitive to the sun, and even minimal exposure exacerbates my rosacea. I get red patches and pustules, and my eyes feel irritated and watery. Finding sunscreen that doesn’t cause flare-ups has been a struggle."""
Rosacea,"""Over the years, my nose has become thicker and more bulbous, and I'm worried it might be linked to my rosacea. I also have red patches and visible blood vessels on my cheeks."""
Rosacea,"""I've observed that my nose has become thicker and bulbous over time, and I'm concerned it’s connected to my rosacea. I also have red patches and noticeable blood vessels on my cheeks."""
Rosacea,"""My nose has grown thicker and more bulbous over the years, and I'm afraid it may be a result of my rosacea. Additionally, I have red patches and visible blood vessels on my cheeks."""
Rosacea,"""Doctor, my face has been unusually red, especially around my cheeks and nose. It feels like I'm always blushing, and it makes me feel self-conscious. I also have small red bumps that are sometimes itchy and burning."""
Rosacea,"""Doctor, I've been noticing a lot of redness on my face, particularly around my cheeks and nose. It feels like I'm permanently blushing, and it makes me self-conscious. I also have these tiny red bumps that itch and burn at times."""
Rosacea,"""Doctor, my face has been flushed and red, especially on my cheeks and nose. It’s as if I’m always blushing, and it makes me feel self-conscious. I also have these little red bumps that can feel itchy and burn."""
Rosacea,"""Lately, my skin has been extremely sensitive, reacting to certain products and even the weather. I get red patches and pustules on my nose that flare up and then fade, and sometimes my eyes feel watery and itchy."""
Rosacea,"""My skin has been very sensitive recently, reacting to different products and even changes in the weather. I have red patches and pustules on my nose that come and go, and occasionally, my eyes feel itchy and watery."""
Rosacea,"""I've noticed my skin is much more sensitive lately, easily irritated by products and the weather. I have red patches and pustules on my nose that appear and disappear, and sometimes my eyes feel both watery and itchy."""
Rosacea,"""I've had this ongoing redness on my nose and cheeks for years, and it worsens after eating spicy food or drinking alcohol. Could it be Rosacea?"""
Rosacea,"""For years, I've noticed constant redness on my nose and cheeks that intensifies with spicy food or alcohol. Could it be a sign of Rosacea?"""
Rosacea,"""The redness on my nose and cheeks has been persistent for years, especially after having spicy food or alcohol. Could this be Rosacea?"""
Rosacea,"""I've noticed persistent redness and small bumps on my forehead and chin, and they worsen with stress and certain foods. Could it be Rosacea?"""
Rosacea,"""There’s ongoing redness and little bumps on my forehead and chin that flare up with stress and certain foods. Could this be Rosacea?"""
Shingles,"""I’m pregnant and feeling unwell, and now I have this burning rash on my stomach. I’m worried it might affect the baby, and I’m not sure what to do."""
Scabies,"""There are small, hard bumps on my buttocks that hurt when I sit down. They're inflamed and red, and I’m worried they could be caused by ingrown hairs."""
Scabies,"""I have red, painful bumps on my buttocks that hurt when I sit down. They feel hard and swollen, and I’m worried they might be ingrown hairs."""
Scabies,"""After using a new hot tub, I've developed these itchy, red bumps on my arms and legs. They resemble small pimples, but they're grouped closely together."""
Scabies,"""Since I started using a new hot tub, I've noticed these red, itchy bumps on my arms and legs. They look like little pimples, and they're clustered together."""
Scabies,"""My baby has small white bumps on their face that resemble pimples. They occasionally scab over, making their skin appear red."""
Scabies,"""There are tiny white bumps on my baby's face that look like pimples. Sometimes, they scab over and cause redness in the skin."""
Scabies,"""Folliculitis appears as small pimples, either red or with white heads, around hair follicles. It can occur on the scalp, face, chest, back, or groin and may cause itching, burning, or tenderness. In severe cases, it may lead to hair loss. The condition is often triggered by bacterial or fungal infections, or from friction caused by tight clothing or irritation from substances like oils or makeup. Consulting a doctor is essential to determine the cause and find the best treatment options."""
Scabies,"""Small red or white-headed pimples around hair follicles characterize folliculitis, commonly found on the scalp, face, chest, back, or groin. It may cause itching, a burning sensation, or tenderness, and can even result in hair loss if severe. This condition often arises from bacterial or fungal infections, friction from tight clothing, or skin irritation from oils or makeup. It's important to seek medical advice to identify the cause and receive proper treatment."""
Scabies,"""I have small, red bumps on my back and chest that feel like shaving bumps. They're extremely itchy and uncomfortable, especially when I sweat."""
Scabies,"""There are tiny red bumps on my back and chest that resemble razor bumps. They itch a lot and become more uncomfortable when I sweat."""
Scabies,"""After using a new steroid cream for my eczema, I noticed painful, red, pus-filled bumps at the application site. They sting when touched."""
Scabies,"""Since I started using a new steroid cream for my eczema, I’ve developed painful, red bumps that are filled with pus and sting when I touch them."""
Scabies,"""Doctor, I have these tiny, itchy bumps on my scalp that turn red and fill with pus. They can be painful when I touch them."""
Scabies,"""Doctor, I’ve noticed small, itchy bumps on my scalp that keep getting red and pus-filled. They hurt when touched sometimes."""
Scabies,"""I've been working in a factory with oil and grease, and now I have these painful bumps on my arms and forearms. They resemble blackheads but are growing larger and more inflamed."""
Scabies,"""Since working in a factory with oil and grease, I’ve developed painful bumps on my arms and forearms that look like blackheads, but they're getting bigger and more swollen."""
Scabies,"""After being on antibiotics for a while, I’ve noticed itchy, red bumps on my arms and legs. They seem to be spreading, and I'm concerned it might be an infection."""
Scabies,"""I've been on antibiotics for an extended period, and now I'm dealing with itchy, red bumps on my arms and legs. They're spreading, and I'm worried it could be an infection."""
Scabies,"""I have red, swollen bumps on my chin and beard area that are growing larger and becoming more painful. I'm concerned about possible scarring."""
Scabies,"""There are inflamed, red bumps on my chin and beard area that are getting bigger and more painful, and I'm worried they might leave scars."""
Scabies,"""I have small, red bumps on my upper thighs that itch intensely, and they seem to get worse after shaving or wearing tight clothes."""
Scabies,"""There are these tiny, red bumps on my upper thighs that are incredibly itchy, especially after shaving or wearing snug clothing."""
Scabies,"""I get these itchy, red patches on my legs after shaving, and they’re so irritating. Sometimes they get infected. Could this be folliculitis?"""
Scabies,"""I’m pregnant and feeling unwell, and now I have this burning rash on my stomach. I’m worried it might affect the baby, and I’m not sure what to do."""
Scabies,"""After I shave, I notice itchy, red patches on my legs that can get infected. They're really bothersome. Is it folliculitis?"""
Scabies,"""I have these painful, red bumps on my legs that flare up after shaving. Could it be folliculitis?"""
Scabies,"""After shaving, I get painful, red bumps on my legs that seem to worsen. Is this folliculitis?"""
Scabies,"""I have small, red, itchy bumps on my chest. Could it be folliculitis?"""
Scabies,"""There are tiny, red bumps on my chest that are really itchy. Could this be folliculitis?"""
Scabies,"""I have painful, red bumps on my legs that flare up after shaving. Could it be folliculitis?"""
Scabies,"""After shaving, my legs develop these painful, red bumps. Could this be folliculitis?"""
Scabies,"""I have these tiny, itchy red bumps on my chest. Could it be folliculitis?"""
Scabies,"""There are small, red bumps on my chest that are really itchy. Could this be folliculitis?"""
Scabies,"""I have these painful red bumps on my legs that get worse after shaving. Could it be folliculitis?"""
Scabies,"""There are red, painful bumps on my legs that seem to worsen after shaving. Could this be folliculitis?"""
Scabies,"""I have these tiny, red, itchy bumps on my chest. Could it be folliculitis?"""
Scabies,"""I have these painful, red bumps on my legs that seem to flare up after shaving. Could it be folliculitis?"""
Scabies,"""I have these tiny, red, itchy bumps on my chest. Could it be folliculitis?"""
Scabies,"""I have painful, red bumps on my legs that get worse after shaving. Could this be folliculitis?"""
Scabies,"""I have itchy, small red bumps on my scalp. Could this be folliculitis?"""
Shingles,"""I’ve been feeling sick while pregnant, and now I have this painful, burning rash on my stomach. Could this be shingles, and should I be concerned for my baby?"""
Shingles,"""As a pregnant woman, I’m experiencing this burning rash on my stomach, and I’m anxious about the potential risk to my baby. What should I do?"""
Shingles,"""I’m pregnant and have been feeling off lately, and now I have this burning rash on my stomach. Could this be shingles, and could it harm the baby?"""
Shingles,"""I’m expecting and recently noticed a burning rash on my stomach. I’m worried it might affect the baby, and I’m unsure if I should seek treatment for shingles."""
Shingles,"""I’m pregnant and feeling unwell, and now there’s a burning rash on my stomach. Should I be concerned about shingles and its effects on my baby?"""
Shingles,"""As a pregnant woman, I’m dealing with a burning rash on my stomach, and I’m worried it might be shingles. I’m not sure what to do to protect the baby."""
Shingles,"""I’ve been feeling sick while pregnant and now have a burning rash on my stomach. Could this be shingles, and should I be worried about it affecting my baby?"""
Ringworm (tinea corporis),"""I'm worried about this red, ring-shaped patch on my arm. My immune system isn't great, and I'm concerned it might be something more than just a harmless rash."""
Scabies,"""I've been treating a patient with scabies lately, and now I'm starting to get itchy myself, especially on my wrists and inside my elbows. Could I have caught it from them?"""
Scabies,"""I've been treating a patient with scabies lately, and now I'm starting to get itchy myself, especially on my wrists and inside my elbows. Could I have caught it from them?"""
Acne,"""Hi doctor, I've been noticing these small, itchy bumps on my face lately. They seem to be spreading, and some of them have even turned into little whiteheads. I'm not sure what they are, but they're bothering me and I'm worried they might be getting worse. Could you take a look?"""
Ringworm (tinea corporis),"""My tummy itches! There's a round, red patch and it makes me want to scratch all the time. What could it be?"""
Ringworm (tinea corporis),"""My tummy itches! There's a round, red patch and it makes me want to scratch all the time. Is this some skin condition?"""
Ringworm (tinea corporis),"""My tummy itches! I have a round, red patch that makes me want to scratch constantly. What is it?"""
Ringworm (tinea corporis),"""I have an itchy tummy! There's a round, red patch that keeps making me want to scratch."""
Ringworm (tinea corporis),"""My tummy is so itchy! There's a round, red patch and it makes me want to scratch all the time."""
Ringworm (tinea corporis),"""My tummy itches so much! There’s a round, red patch that makes me want to scratch constantly."""
Psoriasis,"""My usual psoriasis patches on my elbows seem worse since I got pregnant. I'm worried about using medications and their impact on the baby."""
Psoriasis,"""I have these red, bumpy patches on my arms and legs that make me feel ugly. I don't like wearing shorts or tank tops anymore, and I avoid the pool."""
Eczema,"""I've developed these dry, itchy patches on my hands and arms. It's making it hard to focus at work and even do simple tasks like washing dishes.I don't Understand why"""
Eczema,"""I've developed these dry, itchy patches on my hands and arms. It's making it hard to focus at work and even do simple tasks like washing dishes."""
Eczema,"""There are dry, itchy patches on my hands and arms, and it's making it difficult to concentrate at work and even wash dishes."""
Eczema,"""I've noticed dry, itchy patches on my hands and arms, and it's affecting my ability to focus at work and do basic tasks like washing dishes."""
Eczema,"""My hands and arms have these dry, itchy patches that are making it hard to focus at work and even complete simple tasks like washing dishes."""
Eczema,"""Dry, itchy patches on my hands and arms are making it hard to concentrate at work and even do basic things like washing dishes."""
Acne,"""I love wearing makeup, but lately it seems like it's making my acne worse. I try to keep my brushes clean and use non-comedogenic products, but it just doesn't seem to help. Do you think it's time to give up makeup altogether?"""
Athlete's foot (tinea pedis),"""Mommy, my feet itch so much I can't stop scratching! And they look funny between my toes, like there's white skin peeling off."""
Folliculitis,"""I have these red, inflamed bumps on my chin and beard area. They're getting bigger and more painful, and I'm worried about scarring."""
Scabies,"""Coach, I've been having this intense itching between my fingers and toes lately. It's starting to affect my training, and I'm worried it might be contagious. What should I do?"""
Scabies,"""I can't stop itching my hands and arms! It feels so bad that I want to cry. Could something be wrong with my skin?"""
Scabies,"""Mommy, my hands and arms itch like crazy! I can't stop scratching, and it makes me cry. Is there something wrong with my skin?"""
Shingles,"""I'm a biker, and I noticed this strange rash on my chest after a long ride. It's red and blistering, and it hurts like crazy when I put on my leather jacket. I thought it was just chafing, but now I'm concerned."""
Contact dermatitis,"""My neck is red and irritated, and the new necklace I got keeps leaving a mark. It didn't bother me at first, but now it's really itchy and uncomfortable."""
Rosacea,"""I've noticed my nose has become thicker and bulbous over the years, and I'm concerned it might be related to my rosacea. I also have these red patches and visible blood vessels on my cheeks."""
Scabies,"""I have this intense itching all over my body, especially between my fingers and toes. It's driving me nuts! I've tried everything to stop scratching, but it just gets worse at night."""
Ringworm (tinea corporis),"""Mommy, my eczema seems to be getting worse. The usual patches are itching more, and there's a new, red ring around one of them. Could it be something different?"""
Rosacea,"""Doctor, my face has been so red and flushed lately, especially around my cheeks and nose. It's like I'm constantly blushing, and it makes me feel self-conscious. I also have these small, red bumps that sometimes feel itchy and burning."""
Vitiligo,"""Doctor, I understand Vitiligo isn't a serious medical condition, but it's really affecting my self-esteem and social life. I feel self-conscious about showing my skin, and I'm starting to withdraw from others. Are there any resources or support groups available?"""
Ringworm (tinea corporis),"""I've been under a lot of stress lately, and now I have this itchy, circular patch on my back that won't go away. I'm not sure if it's related to the stress or something else."""
Ringworm (tinea corporis),"""I've been under a lot of stress lately, and now I have this itchy, circular patch on my back that won't go away. I'm not sure if it's related to the stress or something else."""
Ringworm (tinea corporis),"""Lately, I've been really stressed, and now there's this itchy, round patch on my back that won't disappear. I’m not sure if it’s from the stress or something else."""
Ringworm (tinea corporis),"""I’ve been very stressed recently, and now I have this itchy, circular patch on my back that won’t go away. I’m not sure if it’s connected to the stress or something else."""
Ringworm (tinea corporis),"""I’ve been feeling a lot of stress lately, and now I have this round, itchy patch on my back that won’t seem to go away. I’m unsure if it’s due to the stress or something else."""
Ringworm (tinea corporis),"""I've been stressed out a lot recently, and now I have this itchy, circular patch on my back that won't go away. I’m not sure if it's from the stress or something else."""
Eczema,"""My face has been breaking out like crazy lately, and it's really itchy. It's embarrassing and uncomfortable, and I'm starting to lose confidence."""
Eczema,"""I'm not sure if I have eczema, but I have these itchy, red patches on my skin. I want to know what I can do to manage it and prevent it from getting worse."""
Eczema,"""My skin has been getting more sensitive lately, especially on my belly. It's itchy and red, and I worry it might be affecting the baby."""
Folliculitis,"""I have these tiny, red bumps on my upper thighs that itch like crazy. They seem to worsen after shaving or wearing tight clothing."""
Psoriasis,"""Psoriasis, a chronic skin condition, presents diverse symptoms characterized by red, scaly patches that may appear anywhere on the body. These patches, often itchy and sometimes painful, vary in size and severity. Commonly affected areas include elbows, knees, scalp, and lower back. Individuals may experience thickened, silvery-white scales accompanied by dry, cracked skin that can bleed. Psoriasis might also cause nail changes, such as pitting or discoloration, and joint pain in some cases. While symptoms differ among individuals, this condition's persistent nature may lead to physical discomfort and emotional distress, necessitating tailored treatment plans for symptom management."""
Impetigo,"""These itchy blisters on my face haven't gone away despite using over-the-counter cream. They started small and now they're oozing and crusting over. Could it be impetigo?"""
Vitiligo,"""Vitiligo, a skin condition affecting pigmentation, exhibits distinct symptoms, notably the development of white patches due to the loss of melanin. These patches often appear on various body parts, including the face, hands, elbows, knees, and genitalia. The condition typically progresses over time, spreading unpredictably or remaining stable. Vitiligo isn't inherently painful or contagious, but it can lead to emotional distress and social stigma due to its noticeable appearance. Besides the prominent depigmented patches, individuals with vitiligo might experience premature graying of scalp hair, eyelashes, and eyebrows, further highlighting the contrast with unaffected skin areas."""
Rosacea,"""My skin has been really sensitive lately, and it gets easily irritated by certain products and even the weather. I have these red patches and pustules on my nose that come and go, and sometimes my eyes feel watery and itchy."""
Psoriasis,"""My skin is itchy and sometimes hurts, and it looks different from my friends'. My mom says it's called psoriasis, but I don't understand."""
Impetigo,"""I have these painful sores on my arm that look infected. They started as red bumps and now they're crusty and honey-colored. I have diabetes, so I'm worried about infection."""
Psoriasis,"""I have these red, itchy patches on my elbows and knees that won't go away. They're flaky and sometimes bleed when I scratch. I'm really self-conscious about them, especially in the summer."""
Shingles,"""I haven't been sleeping well, and I have this constant pain in my eye. Now, I see this red, crusty rash on my forehead that's making my vision blurry. I'm worried I might be getting blind."""
Acne,"""I barely get enough sleep between classes and work, and I think it's taking a toll on my skin. My acne seems to be getting worse, and I have these dark circles under my eyes. I know I need to get more sleep, but it's hard to find the time. Do you have any advice?"""
Psoriasis,"""I've tried traditional medications, but they haven't worked well for me. I'm interested in exploring alternative therapies like acupuncture or dietary changes."""
Psoriasis,"""There are these thick, silvery scales on my scalp and they sometimes bleed when I scratch them. It’s really embarrassing and painful. Is this Psoriasis?"""
Rosacea,"""I have this persistent redness on my nose and cheeks that gets worse with spicy food or alcohol. It’s been there for years. Could it be Rosacea?"""
Acne,"""I have these whiteheads and blackheads all over my face, especially my forehead and nose. They’ve been there since my teenage years. Is it Acne?"""
Rosacea,"""I have this persistent redness and small bumps on my forehead and chin. It gets worse with stress and certain foods. Is it Rosacea?"""
Psoriasis,"""I’ve noticed these white, scaly patches on my knees and elbows. They’re not itchy, but they look quite unsightly. Could it be Psoriasis?"""
Acne,"""I have these small, red pimples on my chest and back that sometimes get filled with pus. They’re quite painful and leave scars. What could it be?"""
Folliculitis,"""There are these itchy, red patches on my legs that seem to appear after I shave. They’re really annoying and sometimes get infected. Is it Folliculitis?"""
Shingles,"""I’ve been having trouble sleeping, and there's this persistent pain in my eye. Now, I have a red, crusty rash on my forehead that’s making my vision blurry. I’m scared I might lose my sight."""
Shingles,"""I haven't been sleeping properly, and my eye hurts constantly. Now, I’ve developed a red, crusty rash on my forehead, and it’s making my vision blurry. I’m afraid I could go blind."""
Shingles,"""I haven’t been sleeping well, and there’s constant pain in my eye. Now, I have a red, crusty rash on my forehead that’s causing my vision to blur. I'm worried it could lead to blindness."""
Shingles,"""I’ve been struggling with sleep, and there’s this pain in my eye that won’t go away. Now, a red, crusty rash has appeared on my forehead, and it’s making my vision blurry. I’m concerned I might lose my sight."""
Shingles,"""I’ve been having sleepless nights, and there’s this constant pain in my eye. Now, I see a red, crusty rash on my forehead that’s blurring my vision. I’m scared it might make me blind."""
Shingles,"""I haven't been sleeping properly, and my eye hurts all the time. Now, there’s a red, crusty rash on my forehead that’s affecting my vision. I’m worried it might cause blindness."""
Shingles,"""I’ve been dealing with poor sleep, and there’s persistent pain in my eye. Now, a red, crusty rash on my forehead is making my vision blurry. I’m afraid I could go blind."""
Shingles,"""I haven't been able to sleep well, and my eye has been hurting non-stop. Now, a red, crusty rash is showing up on my forehead, and it’s making my vision blurry. I'm worried I might lose my sight."""
Shingles,"""I’ve been having trouble sleeping, and there's constant pain in my eye. Now, I have a red, crusty rash on my forehead that’s blurring my vision. I’m afraid I might become blind."""
Shingles,"""I’ve been struggling with sleep, and there’s this persistent pain in my eye. Now, I have a red, crusty rash on my forehead that’s making my vision unclear. I’m concerned it could lead to blindness."""
